4412,9069,0
2174,4207,0
5842,8721,0
890,3116,0
6017,8612,0
149,8262,0
69,9570,0
33,4509,0
881,5906,0
6363,11193,0
28,2951,0
5871,12560,0
4824,6612,0
8371,10996,0
48,7257,0
3073,5133,0
1242,2074,0
1209,3947,0
5271,8236,0
5368,10871,0
1472,4027,0
6351,12153,0
1682,4916,0
142,4406,0
2378,12270,0
1600,6186,0
3914,4282,0
10202,11263,0
8126,12436,0
1554,11414,0
395,759,0
5555,8226,0
1666,7054,0
3402,7763,0
7251,8329,0
1582,11338,0
4855,8521,0
66,12471,0
4069,10082,0
6762,9080,0
286,5567,0
2769,8348,0
449,7688,0
398,3160,0
6698,12055,0
1651,3596,0
3790,11649,0
2398,2476,0
3058,11497,0
7305,11974,0
1307,3588,0
861,5884,0
2499,10796,0
1415,10185,0
2273,2569,0
554,2757,0
193,6445,0
3825,10118,0
1547,5980,0
558,7012,0
5928,11448,0
4614,5003,0
1280,8065,0
4583,9680,0
1963,11718,0
3022,6129,0
824,4091,0
2900,10083,0
6149,10020,0
1366,12022,0
10396,10633,0
4218,10622,0
6733,7143,0
1474,5039,0
5212,9047,0
1998,3227,0
1390,6795,0
7710,10286,0
4177,6741,0
3167,4925,0
3178,9031,0
560,3284,0
2005,6292,0
6003,6280,0
2575,7745,0
423,3195,0
8321,9446,0
178,10892,0
153,7643,0
1405,3837,0
862,3804,0
767,3089,0
21,11769,0
7396,9497,0
50,9271,0
408,1399,0
1449,8559,0
1091,5891,0
4295,9589,0
5694,7971,0
4593,4834,0
3471,8101,0
8229,10183,0
912,11384,0
8081,10732,0
4314,7077,0
650,3895,0
8609,11782,0
6134,10980,0
4700,8929,0
4185,8010,0
2013,2973,0
717,2016,0
6066,7853,0
2468,2666,0
8089,9421,0
1907,3094,0
4648,10070,0
7057,11260,0
3932,5175,0
3654,5433,0
172,3726,0
6120,10780,0
4877,9737,0
1039,3596,0
4167,7971,0
6267,9283,0
1039,7203,0
8232,9529,0
2528,11902,0
6926,10933,0
4607,4701,0
1224,8117,0
3226,4287,0
2617,4660,0
4029,8638,0
1048,8055,0
215,4177,0
2674,5361,0
4115,10254,0
3269,9742,0
2739,8892,0
2240,5740,0
573,1373,0
3121,6642,0
4823,10462,0
7854,11793,0
3974,6246,0
681,6441,0
352,4566,0
6666,10221,0
1472,3689,0
141,3980,0
6854,10707,0
8057,11919,0
975,2095,0
4404,5868,0
0,5868,0
4773,5581,0
2256,4561,0
495,10629,0
5675,9295,0
8733,10800,0
3173,8443,0
5668,9630,0
4556,10015,0
6604,7905,0
2656,4788,0
983,9919,0
5417,6234,0
1697,2587,0
4932,11749,0
4359,9308,0
907,4631,0
6494,10479,0
2028,2845,0
3120,7380,0
5930,9199,0
7424,11766,0
4567,12401,0
1570,3601,0
1840,11864,0
1949,4892,0
1219,10446,0
5636,12328,0
1891,12409,0
980,1005,0
1464,2078,0
1889,7390,0
9492,9530,0
3673,4213,0
2060,10393,0
792,8615,0
407,2981,0
1495,8824,0
6840,10076,0
8617,10057,0
181,769,0
5159,5461,0
6645,7904,0
2262,9909,0
5897,6766,0
2949,7122,0
1968,2353,0
4965,8273,0
3516,4659,0
1720,8756,0
2781,10369,0
2330,7297,0
6482,10253,0
2402,11667,0
892,8706,0
5012,10818,0
355,10898,0
2777,3481,0
2145,6986,0
5189,8779,0
510,8206,0
661,8344,0
562,4116,0
1216,11302,0
6119,11361,0
1764,11262,0
3927,5751,0
3245,7348,0
11332,12037,0
6667,11557,0
96,6383,0
3457,6759,0
7954,10681,0
7600,12240,0
265,4279,0
2287,4315,0
3970,11463,0
4868,10924,0
8889,12649,0
2415,6746,0
2755,5940,0
883,7109,0
3800,9390,0
6894,7177,0
587,7620,0
1913,9116,0
3716,4014,0
1012,6294,0
8479,10269,0
2719,12340,0
1451,7291,0
8379,10196,0
3160,3357,0
926,9468,0
2746,8960,0
